,b_goal_setting,a_goal_setting,b_environment_structuring,a_environment_structuring,b_task_strategies,a_task_strategies,b_time_management,a_time_management,b_help_seeking,a_help_seeking,b_self_evaluation,a_self_evaluation,b_rehearsal,a_rehearsal,b_elaboration,a_elaboration,b_organization,a_organization,b_critical_thinking,a_critical_thinking,b_metacognitive_selfregulation,a_metacognitive_selfregulation,b_math_self_efficacy,a_math_self_efficacy,b_internet_self_efficacy,a_internet_self_efficacy
107302505.0,5.6,5.0,5.25,5.75,4.5,4.25,3.333333333333333,4.0,4.75,4.0,2.75,3.75,6.25,5.5,5.666666666666668,5.833333333333332,6.75,5.25,4.6,4.4,5.0,5.5,6.6,7.0,6.5,6.25
107302506.0,5.0,5.8,4.75,6.0,3.5,4.5,4.0,5.0,5.25,5.0,5.25,6.0,4.75,6.0,5.166666666666667,4.666666666666667,4.25,5.5,5.6,5.8,4.916666666666667,4.916666666666667,5.2,5.0,6.25,6.0
107302532.0,5.6,5.8,5.5,5.5,4.5,5.0,5.333333333333333,5.333333333333333,5.25,5.75,5.25,5.5,5.75,5.5,5.166666666666667,5.666666666666668,5.25,5.5,5.8,5.2,5.083333333333333,5.333333333333333,5.8,5.4,5.5,5.75
107303019.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.25,4.0,4.0,4.0,4.166666666666667,4.0,4.0,4.0,4.0,4.0
107303506.0,4.4,5.0,5.0,5.0,5.0,5.0,5.0,5.333333333333333,5.0,5.25,5.0,5.25,5.25,5.0,4.833333333333333,5.0,5.0,5.25,5.0,5.0,4.666666666666667,4.833333333333333,5.0,5.0,5.0,5.0
107303531.0,5.6,5.8,5.75,6.25,5.25,5.5,5.666666666666668,3.6666666666666665,6.0,5.0,5.25,6.0,5.75,6.0,5.5,5.5,6.0,4.0,4.8,6.0,4.5,5.583333333333332,4.8,6.2,5.5,5.5
107303533.0,6.2,6.0,6.25,6.5,5.0,3.75,5.666666666666668,5.0,6.0,5.0,5.75,5.75,6.0,6.0,6.333333333333332,6.5,6.25,5.75,6.6,6.4,5.25,5.416666666666668,5.2,6.0,6.25,6.25
107303534.0,4.4,4.6,4.5,4.0,3.75,4.25,4.0,4.0,3.75,3.75,4.5,4.25,5.0,4.25,4.166666666666667,4.166666666666667,4.25,4.0,4.2,4.0,3.5,4.083333333333333,4.4,4.4,4.25,4.25
107303541.0,7.0,6.0,7.0,6.0,7.0,6.0,7.0,6.0,7.0,6.0,7.0,6.0,7.0,6.0,7.0,6.0,7.0,6.0,7.0,6.0,6.0,5.333333333333333,7.0,6.0,7.0,6.0
107303556.0,5.0,5.0,5.75,5.0,4.0,4.25,3.6666666666666665,5.0,5.0,5.0,4.5,5.0,5.0,5.0,5.0,5.0,4.75,5.0,4.4,5.0,4.5,4.916666666666667,4.6,5.2,4.75,5.0
107303558.0,4.6,4.6,4.25,5.0,3.75,4.0,4.0,3.333333333333333,4.75,3.75,5.0,4.25,5.75,4.0,5.0,4.0,4.25,4.25,3.4,4.6,4.666666666666667,4.5,3.4,3.4,4.25,4.0
107304511.0,5.0,4.4,5.0,5.0,3.5,3.5,4.0,3.6666666666666665,4.0,4.0,4.25,4.5,4.5,4.25,4.333333333333333,4.166666666666667,4.75,4.5,4.4,4.2,4.083333333333333,3.9166666666666665,3.8,4.0,3.25,4.0
107305506.0,5.0,4.6,5.0,5.0,3.75,4.25,4.0,4.0,4.5,4.5,4.0,4.0,4.25,5.0,4.833333333333333,4.333333333333333,5.5,5.0,4.8,4.4,4.583333333333333,4.5,4.4,5.0,6.0,5.0
107802506.0,5.4,5.8,5.25,5.5,4.0,5.25,4.666666666666667,5.333333333333333,4.5,4.75,5.25,5.5,5.0,5.5,5.0,5.833333333333332,4.75,5.0,5.0,6.0,5.0,4.916666666666667,4.4,4.6,5.0,4.25
