,b_goal_setting,a_goal_setting,b_environment_structuring,a_environment_structuring,b_task_strategies,a_task_strategies,b_time_management,a_time_management,b_help_seeking,a_help_seeking,b_self_evaluation,a_self_evaluation,b_rehearsal,a_rehearsal,b_elaboration,a_elaboration,b_organization,a_organization,b_critical_thinking,a_critical_thinking,b_metacognitive_selfregulation,a_metacognitive_selfregulation,b_math_self_efficacy,a_math_self_efficacy,b_internet_self_efficacy,a_internet_self_efficacy
107801021.0,25.0,29.0,19.0,25.0,22.0,20.0,15.0,14.0,19.0,22.0,21.0,19.0,19.0,20.0,32.0,32.0,20.0,22.0,26.0,24.0,66.0,68.0,34.0,34.0,23.0,19.0
107801024.0,28.0,28.0,23.0,23.0,22.0,12.0,11.0,9.0,28.0,22.0,21.0,20.0,24.0,21.0,39.0,33.0,25.0,22.0,23.0,26.0,75.0,69.0,27.0,24.0,20.0,24.0
107801026.0,20.0,25.0,15.0,20.0,15.0,13.0,13.0,14.0,15.0,14.0,13.0,23.0,19.0,14.0,24.0,27.0,16.0,17.0,21.0,23.0,45.0,55.0,19.0,23.0,16.0,18.0
107801028.0,23.0,27.0,24.0,21.0,20.0,20.0,17.0,16.0,22.0,20.0,21.0,23.0,18.0,19.0,27.0,33.0,22.0,20.0,25.0,27.0,59.0,62.0,22.0,26.0,21.0,22.0
107801030.0,21.0,19.0,20.0,18.0,14.0,15.0,12.0,12.0,20.0,19.0,19.0,18.0,18.0,14.0,23.0,24.0,19.0,18.0,18.0,22.0,47.0,52.0,24.0,24.0,18.0,17.0
107801031.0,20.0,20.0,16.0,16.0,16.0,16.0,12.0,12.0,16.0,16.0,16.0,16.0,16.0,16.0,24.0,24.0,16.0,16.0,20.0,20.0,48.0,48.0,20.0,20.0,16.0,16.0
107801510.0,27.0,30.0,22.0,22.0,20.0,15.0,15.0,15.0,21.0,22.0,22.0,24.0,21.0,22.0,29.0,38.0,16.0,20.0,26.0,29.0,63.0,63.0,34.0,29.0,24.0,24.0
107801512.0,25.0,29.0,20.0,23.0,14.0,25.0,13.0,17.0,21.0,26.0,19.0,22.0,18.0,21.0,29.0,36.0,20.0,25.0,23.0,30.0,50.0,62.0,26.0,30.0,22.0,25.0
107801514.0,27.0,30.0,25.0,23.0,18.0,19.0,15.0,15.0,25.0,23.0,24.0,20.0,24.0,20.0,36.0,30.0,23.0,19.0,32.0,31.0,59.0,62.0,21.0,22.0,20.0,20.0
107801515.0,29.0,27.0,23.0,24.0,16.0,16.0,15.0,16.0,20.0,22.0,19.0,20.0,20.0,22.0,29.0,33.0,24.0,23.0,32.0,30.0,64.0,60.0,23.0,26.0,24.0,20.0
107802009.0,25.0,25.0,20.0,20.0,17.0,20.0,13.0,13.0,18.0,16.0,20.0,18.0,20.0,20.0,30.0,30.0,20.0,20.0,25.0,25.0,55.0,57.0,26.0,24.0,20.0,22.0
107802501.0,24.0,25.0,18.0,21.0,15.0,15.0,11.0,14.0,19.0,18.0,19.0,15.0,19.0,15.0,32.0,24.0,18.0,15.0,17.0,19.0,55.0,45.0,19.0,20.0,20.0,19.0
